method,snr,bucket,peak_detection_rate,peak_precision,peak_f1,fiber_count_accuracy,mean_angular_error,num_voxels
FORCE (α=1e-3),10,"(10, 20)",0.482,0.9026217228464419,0.6284224250325945,0.115,6.092717790130224,1000
FORCE (α=1e-3),10,"(20, 30)",0.4725,0.8758109360518999,0.613835660928873,0.133,8.458528505956567,1000
FORCE (α=1e-3),10,"(30, 40)",0.484,0.8424717145343777,0.6147983486821214,0.206,10.644946115063302,1000
FORCE (α=1e-3),10,"(40, 50)",0.4925,0.7086330935251799,0.5811209439528024,0.379,10.111105712178887,1000
FORCE (α=1e-3),10,"(50, 60)",0.563,0.6734449760765551,0.6132897603485838,0.6,9.265365181404011,1000
FORCE (α=1e-3),10,"(60, 70)",0.5975,0.6501632208922742,0.6227201667535175,0.694,8.71629324674618,1000
FORCE (α=1e-3),10,"(70, 80)",0.629,0.6428206438426163,0.6358352287086176,0.727,8.643343416341068,1000
FORCE (α=1e-3),10,"(80, 90)",0.651,0.646795827123696,0.6488911039122851,0.723,8.438646832168327,1000
FORCE (α=1e-3),20,"(10, 20)",0.5255,0.9952651515151515,0.6878272251308901,0.075,5.8497922530448,1000
FORCE (α=1e-3),20,"(20, 30)",0.528,0.993414863593603,0.6895200783545545,0.077,8.555343778289226,1000
FORCE (α=1e-3),20,"(30, 40)",0.554,0.9744942832014072,0.7064073956008926,0.151,10.116654928401175,1000
FORCE (α=1e-3),20,"(40, 50)",0.5575,0.8492003046458492,0.6731059462722607,0.337,9.580748753263531,1000
FORCE (α=1e-3),20,"(50, 60)",0.641,0.8319273199221285,0.724089240327591,0.574,8.759883960338277,1000
FORCE (α=1e-3),20,"(60, 70)",0.7215,0.821753986332574,0.768370607028754,0.785,7.909258092479836,1000
FORCE (α=1e-3),20,"(70, 80)",0.7615,0.8272677892449756,0.793022650351471,0.86,7.56279861040709,1000
FORCE (α=1e-3),20,"(80, 90)",0.775,0.8271077908217717,0.8002065049044915,0.879,7.352630122855978,1000
FORCE (α=1e-3),50,"(10, 20)",0.5465,1.0,0.7067571936631102,0.097,5.908384235454561,1000
FORCE (α=1e-3),50,"(20, 30)",0.53,0.9962406015037594,0.6919060052219321,0.07,8.63405035749264,1000
FORCE (α=1e-3),50,"(30, 40)",0.557,0.9806338028169014,0.7104591836734694,0.14,10.331701530692463,1000
FORCE (α=1e-3),50,"(40, 50)",0.559,0.8686868686868687,0.6802555521752359,0.3,9.500120581936676,1000
FORCE (α=1e-3),50,"(50, 60)",0.6505,0.8610191925876902,0.7410994018798064,0.547,8.335522817588693,1000
FORCE (α=1e-3),50,"(60, 70)",0.754,0.8666666666666667,0.8064171122994652,0.774,7.42212339858663,1000
FORCE (α=1e-3),50,"(70, 80)",0.7955,0.861863488624052,0.827353094123765,0.873,7.172500756420376,1000
FORCE (α=1e-3),50,"(80, 90)",0.816,0.8662420382165605,0.8403707518022657,0.9,7.024003209227832,1000
FORCE (α=1e-4),10,"(10, 20)",0.5315,0.69750656167979,0.6032917139614075,0.356,7.0808796120754085,1000
FORCE (α=1e-4),10,"(20, 30)",0.5185,0.6350275566442131,0.570878062207542,0.38,9.03153688223447,1000
FORCE (α=1e-4),10,"(30, 40)",0.54,0.6367924528301887,0.5844155844155845,0.476,10.378925456803323,1000
FORCE (α=1e-4),10,"(40, 50)",0.5445,0.5648340248962656,0.5544806517311609,0.568,9.775068897802488,1000
FORCE (α=1e-4),10,"(50, 60)",0.587,0.5440222428174235,0.5646945646945647,0.619,9.436460728628248,1000
FORCE (α=1e-4),10,"(60, 70)",0.614,0.5409691629955947,0.5751756440281031,0.583,8.748711506644808,1000
FORCE (α=1e-4),10,"(70, 80)",0.6065,0.5214961306964746,0.5607951918631531,0.531,8.79596286571188,1000
FORCE (α=1e-4),10,"(80, 90)",0.6145,0.5187842971718024,0.5626001373311971,0.522,8.79487769752799,1000
FORCE (α=1e-4),20,"(10, 20)",0.626,0.9378277153558052,0.7508245877061469,0.349,6.650579964417807,1000
FORCE (α=1e-4),20,"(20, 30)",0.643,0.9120567375886525,0.7542521994134898,0.4,8.676309423558797,1000
FORCE (α=1e-4),20,"(30, 40)",0.66,0.8747514910536779,0.7523510971786833,0.508,9.484427709581073,1000
FORCE (α=1e-4),20,"(40, 50)",0.6655,0.7601370645345517,0.7096774193548387,0.696,9.02941946705396,1000
FORCE (α=1e-4),20,"(50, 60)",0.7145,0.7458246346555324,0.729826353421859,0.829,8.543972146464492,1000
FORCE (α=1e-4),20,"(60, 70)",0.7495,0.7308629936616284,0.7400641816835348,0.838,8.04094345772558,1000
FORCE (α=1e-4),20,"(70, 80)",0.754,0.7167300380228137,0.7348927875243665,0.786,7.684482125829969,1000
FORCE (α=1e-4),20,"(80, 90)",0.754,0.6895290352080475,0.7203248149032722,0.719,7.595907472559823,1000
FORCE (α=1e-4),50,"(10, 20)",0.6575,0.9762435040831478,0.7857783089333733,0.357,6.688855927785882,1000
FORCE (α=1e-4),50,"(20, 30)",0.653,0.9617083946980854,0.7778439547349613,0.362,8.554577085882197,1000
FORCE (α=1e-4),50,"(30, 40)",0.6725,0.920602327173169,0.777232013868824,0.467,9.297923456947384,1000
FORCE (α=1e-4),50,"(40, 50)",0.7175,0.8411488862837045,0.774419859686994,0.717,8.680700082351752,1000
FORCE (α=1e-4),50,"(50, 60)",0.759,0.8044515103338633,0.7810650887573964,0.878,8.065673383771456,1000
FORCE (α=1e-4),50,"(60, 70)",0.788,0.7951564076690212,0.79156202913109,0.916,7.512520717730007,1000
FORCE (α=1e-4),50,"(70, 80)",0.802,0.783203125,0.7924901185770752,0.871,7.300984177175512,1000
FORCE (α=1e-4),50,"(80, 90)",0.7975,0.757000474608448,0.7767226686145604,0.825,7.416717372798025,1000
FORCE (α=1e-5),10,"(10, 20)",0.538,0.6716604244694132,0.597445863409217,0.376,7.1453582576580335,1000
FORCE (α=1e-5),10,"(20, 30)",0.526,0.6221170904790065,0.5700352208073693,0.41,9.074401148929997,1000
FORCE (α=1e-5),10,"(30, 40)",0.547,0.6237172177879133,0.5828449653702719,0.496,10.359949680852813,1000
FORCE (α=1e-5),10,"(40, 50)",0.5475,0.550251256281407,0.5488721804511278,0.576,9.742568845169822,1000
FORCE (α=1e-5),10,"(50, 60)",0.588,0.5364963503649635,0.5610687022900762,0.606,9.468873319251388,1000
FORCE (α=1e-5),10,"(60, 70)",0.6135,0.5337103088299261,0.5708304256803909,0.559,8.780529164549566,1000
FORCE (α=1e-5),10,"(70, 80)",0.6075,0.5152671755725191,0.5575952271684259,0.507,8.859143565437606,1000
FORCE (α=1e-5),10,"(80, 90)",0.613,0.5099833610648918,0.5567665758401453,0.497,8.821413579172406,1000
FORCE (α=1e-5),20,"(10, 20)",0.6495,0.9252136752136753,0.7632197414806111,0.416,6.93295006770201,1000
FORCE (α=1e-5),20,"(20, 30)",0.67,0.901749663526245,0.7687894434882386,0.469,8.727650919708719,1000
FORCE (α=1e-5),20,"(30, 40)",0.6735,0.8482367758186398,0.7508361204013378,0.567,9.429243622117216,1000
FORCE (α=1e-5),20,"(40, 50)",0.683,0.7480832420591457,0.7140616832200732,0.751,8.964285719873674,1000
FORCE (α=1e-5),20,"(50, 60)",0.714,0.7274579724910851,0.720666161998486,0.831,8.564315580014028,1000
FORCE (α=1e-5),20,"(60, 70)",0.7445,0.7124401913875598,0.7281173594132029,0.815,8.055888456693825,1000
FORCE (α=1e-5),20,"(70, 80)",0.75,0.697350069735007,0.7227174174897615,0.76,7.751387514348996,1000
FORCE (α=1e-5),20,"(80, 90)",0.7485,0.6758465011286682,0.7103202846975089,0.692,7.667973434521191,1000
FORCE (α=1e-5),50,"(10, 20)",0.6825,0.96671388101983,0.8001172332942555,0.422,6.926203632467655,1000
FORCE (α=1e-5),50,"(20, 30)",0.682,0.9478804725503822,0.7932538528642047,0.444,8.581982538355025,1000
FORCE (α=1e-5),50,"(30, 40)",0.694,0.9036458333333334,0.7850678733031674,0.539,9.282667743666272,1000
FORCE (α=1e-5),50,"(40, 50)",0.7345,0.8294748729531338,0.7791036860249271,0.779,8.65735785231779,1000
FORCE (α=1e-5),50,"(50, 60)",0.759,0.7939330543933054,0.7760736196319019,0.895,8.060774995594672,1000
FORCE (α=1e-5),50,"(60, 70)",0.7835,0.7757425742574258,0.7796019900497512,0.906,7.600491812365065,1000
FORCE (α=1e-5),50,"(70, 80)",0.7955,0.7627037392138063,0.7787567302985805,0.842,7.3046300220724705,1000
FORCE (α=1e-5),50,"(80, 90)",0.793,0.7366465397120298,0.7637852155068625,0.785,7.531346173829693,1000
CSA,10,"(10, 20)",0.4915,0.6079158936301794,0.5435443737904341,0.167,8.641430420822598,1000
CSA,10,"(20, 30)",0.5175,0.5927835051546392,0.5525894287239722,0.233,10.00483760028,1000
CSA,10,"(30, 40)",0.5005,0.5661764705882353,0.5313163481953291,0.199,10.45384435416953,1000
CSA,10,"(40, 50)",0.4915,0.49596367305751765,0.4937217478653942,0.27,10.376497127995533,1000
CSA,10,"(50, 60)",0.484,0.4671814671814672,0.47544204322200395,0.259,9.53429607619985,1000
CSA,10,"(60, 70)",0.484,0.43349753694581283,0.45735884715331915,0.279,9.594064442513957,1000
CSA,10,"(70, 80)",0.489,0.4170575692963753,0.45017261219792865,0.25,9.148897972993726,1000
CSA,10,"(80, 90)",0.4925,0.42329179200687583,0.45528079500808877,0.231,9.266070158364249,1000
CSA,20,"(10, 20)",0.5175,0.8136792452830188,0.6326405867970659,0.144,7.407369763372637,1000
CSA,20,"(20, 30)",0.5415,0.7708185053380783,0.636123348017621,0.162,8.971133107853394,1000
CSA,20,"(30, 40)",0.545,0.7676056338028169,0.6374269005847953,0.186,9.968854700050898,1000
CSA,20,"(40, 50)",0.5305,0.675796178343949,0.5943977591036415,0.269,8.835667812677793,1000
CSA,20,"(50, 60)",0.5485,0.6159460976979225,0.5802697699021423,0.311,8.124046570962904,1000
CSA,20,"(60, 70)",0.5755,0.6373200442967885,0.604834471886495,0.314,7.969440877160258,1000
CSA,20,"(70, 80)",0.582,0.6168521462639109,0.5989194751736557,0.292,7.912274150937511,1000
CSA,20,"(80, 90)",0.5615,0.5976583288983501,0.5790152101056973,0.268,7.516572231405869,1000
CSA,50,"(10, 20)",0.5075,0.9902439024390244,0.6710743801652893,0.021,5.86441477356568,1000
CSA,50,"(20, 30)",0.513,0.9855907780979827,0.6747780335415983,0.037,8.291610197116237,1000
CSA,50,"(30, 40)",0.5165,0.9636194029850746,0.6725260416666666,0.056,9.227500729425,1000
CSA,50,"(40, 50)",0.5035,0.8688524590163934,0.6375435264324153,0.126,7.315780106427998,1000
CSA,50,"(50, 60)",0.553,0.8290854572713643,0.6634673065386923,0.261,5.754702476328557,1000
CSA,50,"(60, 70)",0.5865,0.8487698986975398,0.6936723832052041,0.274,5.408103453328091,1000
CSA,50,"(70, 80)",0.6105,0.8784172661870504,0.720353982300885,0.261,4.875752826602068,1000
CSA,50,"(80, 90)",0.6065,0.8854014598540146,0.7198813056379821,0.245,4.992081730782072,1000
CSD,10,"(10, 20)",0.469,0.8065348237317282,0.5931078090420487,0.109,7.601244069713561,1000
CSD,10,"(20, 30)",0.4655,0.7869822485207101,0.5849827207037386,0.126,9.396583061078937,1000
CSD,10,"(30, 40)",0.4645,0.7633525061626951,0.577556729872552,0.141,10.578022024446629,1000
CSD,10,"(40, 50)",0.453,0.6926605504587156,0.5477629987908101,0.206,9.286496513921492,1000
CSD,10,"(50, 60)",0.461,0.6906367041198502,0.5529235382308846,0.226,7.901671852467611,1000
CSD,10,"(60, 70)",0.464,0.6457898399443285,0.5400058190282223,0.28,7.559347405137895,1000
CSD,10,"(70, 80)",0.466,0.6200931470392548,0.5321153297173851,0.276,7.245787626675567,1000
CSD,10,"(80, 90)",0.464,0.6249158249158249,0.5325681492109039,0.261,7.068264400096927,1000
CSD,20,"(10, 20)",0.494,0.8821428571428571,0.6333333333333333,0.088,7.309063377931784,1000
CSD,20,"(20, 30)",0.503,0.8314049586776859,0.6267912772585671,0.124,9.20422423375603,1000
CSD,20,"(30, 40)",0.509,0.8547439126784215,0.6380445001566907,0.136,10.058728168360465,1000
CSD,20,"(40, 50)",0.4915,0.7746256895193065,0.6014071581523401,0.188,7.581088392324962,1000
CSD,20,"(50, 60)",0.5065,0.7476014760147601,0.6038748137108794,0.259,6.236467364212962,1000
CSD,20,"(60, 70)",0.5215,0.7536127167630058,0.6164302600472813,0.254,6.163038564060256,1000
CSD,20,"(70, 80)",0.524,0.7369901547116737,0.6125073056691993,0.253,5.913241272926492,1000
CSD,20,"(80, 90)",0.518,0.7331917905166313,0.6070905361851744,0.229,5.4360815250812236,1000
CSD,50,"(10, 20)",0.506,0.8963684676705048,0.646852029402365,0.089,7.263704063922186,1000
CSD,50,"(20, 30)",0.5215,0.8809121621621622,0.6551507537688441,0.131,8.864572115150482,1000
CSD,50,"(30, 40)",0.533,0.8694942903752039,0.6608803471791693,0.156,9.098224000221727,1000
CSD,50,"(40, 50)",0.528,0.8,0.6361445783132531,0.232,6.499825548035502,1000
