method,snr,fiber_class,peak_detection_rate,peak_precision,peak_f1,fiber_count_accuracy,mean_angular_error,num_voxels
FORCE (α=1e-3),10,N=1,0.9148,0.899066339066339,0.9068649318463444,0.8536,2.498268594762124,10000
FORCE (α=1e-3),10,N=2,0.57545,0.6990403304178814,0.6312527424308907,0.5187,8.713869925837965,10000
FORCE (α=1e-3),10,N=3,0.4872666666666667,0.5653401400007735,0.5234079882557244,0.7178,9.491230777038378,10000
FORCE (α=1e-3),20,N=1,0.9891,0.9981834695731153,0.993620975438244,0.9875,0.32952965478281254,10000
FORCE (α=1e-3),20,N=2,0.65605,0.848925983436853,0.7401286101083032,0.5582,8.00646072668798,10000
FORCE (α=1e-3),20,N=3,0.5639,0.6753293413173652,0.6146049046321526,0.684,8.76811553014311,10000
FORCE (α=1e-3),50,N=1,0.9976,0.9993989180524945,0.9984986487839055,0.997,0.01839515452460883,10000
FORCE (α=1e-3),50,N=2,0.67655,0.8770417422867514,0.7638590945015241,0.5579,7.798407299351261,10000
FORCE (α=1e-3),50,N=3,0.6037,0.739888879810442,0.6648922500826022,0.6699,8.432433821859021,10000
FORCE (α=1e-4),10,N=1,0.8807,0.6209984487378367,0.7283930196013563,0.5804,3.8928001453326586,10000
FORCE (α=1e-4),10,N=2,0.5912,0.5628064162977772,0.5766539052403131,0.5211,8.934887551375915,10000
FORCE (α=1e-4),10,N=3,0.5266666666666666,0.5511948369091226,0.5386516662405182,0.9351,9.641316458825965,10000
FORCE (α=1e-4),20,N=1,0.9856,0.8982046842249157,0.9398750774805703,0.8834,1.0592788552352337,10000
FORCE (α=1e-4),20,N=2,0.70775,0.7484665820642978,0.7275390625,0.6891,8.107175437091096,10000
FORCE (α=1e-4),20,N=3,0.6476,0.6748176450156305,0.6609287293757442,0.9369,8.840569956912837,10000
FORCE (α=1e-4),50,N=1,0.9976,0.9823732151649434,0.9899280575539569,0.98,0.13554937283828644,10000
FORCE (α=1e-4),50,N=2,0.74355,0.8103204010462075,0.7755006257822278,0.7381,7.7926053070159025,10000
FORCE (α=1e-4),50,N=3,0.7238,0.7589123444708514,0.7409404217566369,0.9293,8.47804518501875,10000
FORCE (α=1e-5),10,N=1,0.8768,0.5930735930735931,0.7075532601678503,0.5382,4.139654630486302,10000
FORCE (α=1e-5),10,N=2,0.592,0.550953932061424,0.5707399373342975,0.5145,8.959105769880722,10000
FORCE (α=1e-5),10,N=3,0.5284,0.5510289210233593,0.5394772665396133,0.9431,9.646439951650766,10000
FORCE (α=1e-5),20,N=1,0.9835,0.856558090924926,0.9156503118890233,0.8351,1.4119230412185997,10000
FORCE (α=1e-5),20,N=2,0.7113,0.7305124781760296,0.72077823377413,0.6966,8.13302710113259,10000
FORCE (α=1e-5),20,N=3,0.6509,0.6732519652461729,0.6618873296725646,0.9517,8.840346206203513,10000
FORCE (α=1e-5),50,N=1,0.9975,0.9666634363794941,0.9818396574634579,0.9636,0.2595061179086068,10000
FORCE (α=1e-5),50,N=2,0.7486,0.7941441680369172,0.7706998172599285,0.7495,7.8424132516501786,10000
FORCE (α=1e-5),50,N=3,0.7309666666666667,0.7573214532393977,0.743910713074157,0.9505,8.477313711639662,10000
CSA,10,N=1,0.8494,0.529254159137641,0.6521555529962764,0.6554,7.8408349034420946,10000
CSA,10,N=2,0.49145,0.4719128096792779,0.48148329577740767,0.2567,9.485056888174574,10000
CSA,10,N=3,0.3895,0.4029032480518585,0.3960882681942985,0.2151,10.093265194528367,10000
CSA,20,N=1,0.9473,0.7483804708484753,0.8361726542501545,0.8059,6.023252259619638,10000
CSA,20,N=2,0.55025,0.6504137115839244,0.5961538461538463,0.2575,8.252371746882808,10000
CSA,20,N=3,0.45426666666666665,0.5345781194837799,0.491161047339304,0.1928,8.631476140247969,10000
CSA,50,N=1,0.9984,0.9772905246671887,0.9877324891175306,0.9789,3.1417520266569396,10000
CSA,50,N=2,0.5592,0.8864230799714671,0.6857773553668333,0.1826,5.964004111618689,10000
CSA,50,N=3,0.47806666666666664,0.768266552389115,0.5893811128462233,0.1497,6.113030113471089,10000
CSD,10,N=1,0.8682,0.7587834294703724,0.8098125174890403,0.879,5.382669155874486,10000
CSD,10,N=2,0.4587,0.6771479185119574,0.5469178490521045,0.2168,7.888995446990519,10000
CSD,10,N=3,0.34376666666666666,0.564600897842987,0.4273401566319977,0.168,8.24198760348309,10000
CSD,20,N=1,0.9049,0.8029993788268702,0.8509097747896,0.8916,4.5690688747998305,10000
CSD,20,N=2,0.5086,0.7542077556165196,0.6075193358616777,0.2225,6.718099452851866,10000
